parameter,description,type,hex_address,address,resolution,alterability
Programmer.Run.Mode,Program Mode,uint8,0x0017,23,Not applicable,RW
Loop.Setpoint.SP1,Setpoint 1,float32,0x0018,24,Same as Loop.Main.PV,RW
Loop.Setpoint.SP2,Setpoint 2,float32,0x0019,25,Same as Loop.Main.PV,RW
Loop.Setpoint.SPTrim,Setpoint local trim value,float32,0x001b,27,Same as Loop.Main.PV,RW
Loop.PID.ManualReset,Manual Reset value,float32,0x001c,28,Same as Loop.Main.WorkingOutput,RW
Programmer.Run.SegmentType,Segment Type,uint8,0x001d,29,Not applicable,RO
Loop.PID.OutputHigh,Gain scheduled output upper limit,float32,0x001e,30,Same as Loop.Main.WorkingOutput,RW
Loop.PID.OutputLow,Gain scheduled output lower limit,float32,0x001f,31,Same as Loop.Main.WorkingOutput,RW
Loop.Output.RemoteOPHigh,Remote upper output limit,float32,0x0020,32,Same as Loop.Main.WorkingOutput,RW
Loop.Output.RemoteOPLow,Remote lower output limit,float32,0x0021,33,Same as Loop.Main.WorkingOutput,RW
Loop.Output.FallbackValue,Fallback output value,float32,0x0022,34,Same as Loop.Main.WorkingOutput,RW
Loop.Setpoint.SPRateUp,Setpoint up rate limit,float32,0x0023,35,Same as Loop.Main.PV,RW
Loop.Output.OPRateUp,Output rate up limit (/sec),float32,0x0025,37,Same as Loop.Main.WorkingOutput,RW
Loop.Diagnostics.Deviation,Process deviation,float32,0x0027,39,Same as Loop.Main.PV,RO
Alarm.1.Hysteresis,Hysteresis,float32,0x002f,47,Same as Alarm.1.Threshold,RW
Loop.PID.Ch1PropBand2,Proportional Band for channel 1/heat 2,float32,0x0030,48,Same as Loop.Main.PV,RW
Loop.PID.IntegralTime2,Integral Time 2 (secs),float32,0x0031,49,0dp,RW
Loop.PID.ManualReset2,Manual Reset value 2,float32,0x0032,50,Same as Loop.Main.WorkingOutput,RW
Loop.PID.DerivativeTime2,Derivative Time 2 (secs),float32,0x0033,51,0dp,RW
Loop.PID.Ch2PropBand2,Proportional Band for channel 2/cool 2,float32,0x0034,52,Same as Loop.Main.PV,RW
Loop.Diagnostics.IntegralOP,Integral output term,float32,0x0037,55,Same as Loop.Main.WorkingOutput,RO
Programmer.Run.SegmentNumber,Currently running segment number,uint8,0x0038,56,Not applicable,RO
Programmer.Run.ProgramTimeLeft,Program Time Left,time_t,0x003a,58,Set by Comms.Fixed/Option.Main.TimeFormat,RO
Programmer.Run.ProgramCyclesLeft,Program Cycles Left,int16,0x003b,59,Not applicable,RW
Programmer.Run.SegmentTimeLeft,Segment Time Left,time_t,0x003f,63,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Loop.Setpoint.SPTrimHighLimit,SPTrim upper limit,float32,0x0042,66,Same as Loop.Main.PV,RW
Loop.Setpoint.SPTrimLowLimit,SPTrim lower limit,float32,0x0043,67,Same as Loop.Main.PV,RW
Alarm.2.Hysteresis,Hysteresis,float32,0x0044,68,Same as Alarm.2.Threshold,RW
Alarm.3.Hysteresis,Hysteresis,float32,0x0045,69,Same as Alarm.3.Threshold,RW
Alarm.4.Hysteresis,Hysteresis,float32,0x0047,71,Same as Alarm.4.Threshold,RW
Loop.PID.ActiveSet,Active Tuneset,uint8,0x0048,72,Not applicable,RW
Instrument.Diagnostics.InstStatusWord,Instrument Status Word,int16,0x004b,75,Not applicable,RO
CT.LoadCurrent,Load On Current,float32,0x0050,80,1dp,RO
Alarm.3.Threshold,Threshold,float32,0x0051,81,"Same as Alarm.3.Input, or if wired, inherited from wire source",RW
Alarm.4.Threshold,Threshold,float32,0x0052,82,"Same as Alarm.4.Input, or if wired, inherited from wire source",RW
Loop.Diagnostics.LoopBreakTime,Loop break time,float32,0x0053,83,0dp,RW
Loop.Output.ManualStepValue,Manual step transfer output value,float32,0x0054,84,Same as Loop.Main.WorkingOutput,RW
Loop.PID.Ch1OnOffHyst,On-Off Hysteresis for channel 1/heat,float32,0x0056,86,Same as Loop.Main.PV,RW
Loop.PID.Ch2OnOffHyst,On-Off Hysteresis for channel 2/cool,float32,0x0058,88,Same as Loop.Main.PV,RW
Loop.Feedforward.FFGain,Compensator gain,float32,0x0061,97,3dp,RW
Loop.Feedforward.FFOffset,Compensator offset,float32,0x0062,98,1dp,RW
Loop.Feedforward.PIDTrimLimit,Symmetrical (+/-) PID trim limit,float32,0x0063,99,Same as Loop.Main.WorkingOutput,RW
AI.1.FilterTime,Filter time constant,float32,0x0065,101,1dp,RW
AI.2.FilterTime,Filter time constant,float32,0x0067,103,1dp,RW
Instrument.HMI.HomeDisplay,Home Display,uint8,0x006a,106,Not applicable,RW
Loop.Setpoint.SPHighLimit,SP1/SP2 upper limit,float32,0x006f,111,Same as Loop.Main.PV,RW
Loop.Setpoint.SPLowLimit,SP1/SP2 lower limit,float32,0x0070,112,Same as Loop.Main.PV,RW
Loop.Diagnostics.DerivativeOP,Derivative output term,float32,0x0074,116,Same as Loop.Main.WorkingOutput,RO
Loop.PID.CutbackLow2,Cutback Low threshold 2,float32,0x0075,117,Same as Loop.Main.PV,RW
Loop.PID.CutbackHigh2,Cutback High threshold 2,float32,0x0076,118,Same as Loop.Main.PV,RW
Instrument.Info.CompanyID,Company identification,int16,0x0079,121,Not applicable,RO
Instrument.Security.CommsPasswordIsSet,Comms password has been Set,bool,0x0080,128,Not applicable,RO
Loop.PID.Boundary,Switching point between sets 1 and 2,float32,0x0099,153,Same as Loop.Main.PV,RW
Programmer.Run.TargetSetpoint,Current Target Setpoint,float32,0x00a0,160,Same as Programmer.Run.PVInput,RW
Programmer.Run.RampRate,Segment Ramp Rate,float32,0x00a1,161,Same as Programmer.Run.PVInput,RW
Programmer.Run.PSP,Programmer Setpoint,float32,0x00a3,163,Same as Programmer.Run.PVInput,RW
Instrument.Security.IM,Instrument Mode,uint8,0x00c7,199,Not applicable,RW
Instrument.Diagnostics.SampleTime,Sample Time (s),float32,0x00c9,201,4dp,RO
AI.1.MVIn,Measured Value,float32,0x00ca,202,2dp,RO
AI.2.MVIn,Measured Value,float32,0x00d0,208,2dp,RO
Loop.Feedforward.FFOutput,Feedforward output value,float32,0x00d1,209,Same as Loop.Main.WorkingOutput,RO
Loop.Diagnostics.ProportionalOP,Proportional output term,float32,0x00d6,214,Same as Loop.Main.WorkingOutput,RO
AI.1.CJCTemp,CJC Temperature,float32,0x00d7,215,2dp,RO
AI.2.CJCTemp,CJC Temperature,float32,0x00d8,216,2dp,RO
Loop.Main.Hold,Select output Hold mode,bool,0x0101,257,Not applicable,RW
Loop.Diagnostics.LoopBreak,Loop break alarm,bool,0x0107,263,Not applicable,RO
Loop.Main.IntegralHold,Stop the integral action,bool,0x0108,264,Not applicable,RW
Loop.Autotune.AutotuneEnable,Start an autotune,bool,0x010e,270,Not applicable,RW
Loop.Main.AutoMan,Auto or Manual Mode,bool,0x0111,273,Not applicable,RW
Instrument.Diagnostics.GlobalAck,Global Alarm Acknowledge,bool,0x0112,274,Not applicable,RW
Loop.Main.RemoteLoc,Remote or Local Setpoint,bool,0x0114,276,Not applicable,RW
RemoteInput.Input,Remote Input,float32,0x0115,277,Set by RemoteInput.Resolution,RW
Instrument.HMI.Keylock,Keylock,bool,0x0117,279,Not applicable,RW
AI.1.PV,PV,float32,0x0121,289,Set by AI.1.Resolution,RO
AI.2.PV,PV,float32,0x0122,290,Set by AI.2.Resolution,RO
Programmer.Run.Event1,Event 1,bool,0x01d0,464,Not applicable,RO
Programmer.Run.Event2,Event 2,bool,0x01d1,465,Not applicable,RO
Programmer.Run.Event3,Event 3,bool,0x01d2,466,Not applicable,RO
Programmer.Run.Event4,Event 4,bool,0x01d3,467,Not applicable,RO
Programmer.Run.Event5,Event 5,bool,0x01d4,468,Not applicable,RO
Programmer.Run.Event6,Event 6,bool,0x01d5,469,Not applicable,RO
Programmer.Run.Event7,Event 7,bool,0x01d6,470,Not applicable,RO
Programmer.Run.Event8,Event 8,bool,0x01d7,471,Not applicable,RO
Loop.Config.Ch1ControlType,Channel 1/heat control type,uint8,0x0200,512,Not applicable,RW
Instrument.Security.L3Passcode,Level3 Passcode,int16,0x0202,514,Not applicable,RW
Instrument.Security.ConfigPasscode,Configuration Passcode,int16,0x0203,515,Not applicable,RW
Instrument.Info.TempUnits,Temperature Units,uint8,0x0204,516,Not applicable,RW
Programmer.Setup.RecoveryStrategy,Recovery Strategy,uint8,0x0206,518,Not applicable,RW
Programmer.Setup.ServoTo,Servo To,uint8,0x0208,520,Not applicable,RW
Comms.Fixed.Main.Delay,Comms Delay,uint8,0x020b,523,Not applicable,RW
Loop.Output.NonLinearCooling,Channel 2 non-linear cooling algorithm,uint8,0x020c,524,Not applicable,RW
Loop.Setpoint.SPTracksRSP,SP1/SP2 tracks RSP,bool,0x020e,526,Not applicable,RW
Loop.Setpoint.SPTracksPV,SP1/SP2 tracks PV in Manual,bool,0x020f,527,Not applicable,RW
Loop.Setpoint.SPTracksPSP,SP1/SP2 tracks PSP,bool,0x0210,528,Not applicable,RW
Loop.Setpoint.SPRateUnits,Rate limit units,uint8,0x0213,531,Not applicable,RW
Loop.Feedforward.FFType,Feedforward Type,uint8,0x0214,532,Not applicable,RW
Loop.Setpoint.RSPType,Selects the RSP configuration,uint8,0x0217,535,Not applicable,RW
Alarm.1.Type,Alarm type,uint8,0x0218,536,Not applicable,RW
Alarm.2.Type,Alarm type,uint8,0x0219,537,Not applicable,RW
Alarm.3.Type,Alarm type,uint8,0x021a,538,Not applicable,RW
Alarm.4.Type,Alarm type,uint8,0x021b,539,Not applicable,RW
Alarm.1.Latch,Latching type,uint8,0x021c,540,Not applicable,RW
Alarm.2.Latch,Latching type,uint8,0x021d,541,Not applicable,RW
Alarm.3.Latch,Latching type,uint8,0x021e,542,Not applicable,RW
Alarm.4.Latch,Latching type,uint8,0x021f,543,Not applicable,RW
Alarm.1.Block,Blocking enable,bool,0x0220,544,Not applicable,RW
Alarm.2.Block,Blocking enable,bool,0x0221,545,Not applicable,RW
Alarm.3.Block,Blocking enable,bool,0x0222,546,Not applicable,RW
Alarm.4.Block,Blocking enable,bool,0x0223,547,Not applicable,RW
Loop.Config.DerivativeType,Derivative action on PV or Error,uint8,0x0226,550,Not applicable,RW
Loop.Config.PVBadTransfer,Manual transfer type if PV goes bad,uint8,0x0229,553,Not applicable,RW
Loop.Config.ManualTransfer,Type of auto to manual transfer,uint8,0x022c,556,Not applicable,RW
Loop.Output.PowerFeedforward,Enable line voltage compensation,bool,0x0235,565,Not applicable,RW
Loop.PID.GainScheduler,Select gain scheduling variable (SV),uint8,0x0237,567,Not applicable,RW
Instrument.Info.CustomerID,Customer identification,int16,0x0275,629,Not applicable,RW
Instrument.Info.Language,Language,uint8,0x0400,1024,Not applicable,RW
Instrument.Info.InstrumentNumber,Instrument Number,int32,0x0402,1026,Not applicable,RO
Instrument.Info.Type,Instrument Type,uint8,0x0403,1027,Not applicable,RO
Instrument.Info.PSUType,PSU Type,uint8,0x0407,1031,Not applicable,RO
Instrument.HMI.HomeTimeout,Home Display Timeout,uint8,0x0410,1040,Not applicable,RW
Instrument.HMI.BargraphMax,Bargraph Maximum value,float32,0x0411,1041,"Same as Instrument.HMI.BargraphPV, or if wired, inherited from wire source",RW
Instrument.HMI.BargraphMin,Bargraph Minimum value,float32,0x0412,1042,"Same as Instrument.HMI.BargraphPV, or if wired, inherited from wire source",RW
Instrument.HMI.BargraphPV,Bargraph Value,float32,0x0413,1043,"0dp, or if wired, inherited from wire source",RW
Instrument.HMI.BargraphType,Bargraph Type,uint8,0x0414,1044,Not applicable,RW
Instrument.HMI.HomeDisplayExtraValue,Home Display Extra Value,float32,0x0415,1045,"0dp, or if wired, inherited from wire source",RW
Instrument.HMI.F1Function,F1 Key Function,uint8,0x0419,1049,Not applicable,RW
Instrument.HMI.F2Function,F2 Key Function,uint8,0x041a,1050,Not applicable,RW
Instrument.HMI.PageScrollFunction,Page+Scroll Key Function,uint8,0x041b,1051,Not applicable,RW
Instrument.Security.L2Passcode,Level2 Passcode,int16,0x0420,1056,Not applicable,RW
Instrument.Security.CommsConfigPasscode,Comms Config Passcode,int32,0x0422,1058,Not applicable,RW
Instrument.Security.CommsPasscode,Comms Passcode,int32,0x0423,1059,Not applicable,RW
Instrument.Security.ConfigAccess,Indication that config mode can be accessed,bool,0x0424,1060,Not applicable,RO
Instrument.Security.CommsPasscodeDefault,Comms Passcode Default Notification,bool,0x0425,1061,Not applicable,RW
Instrument.Security.CommsPasswordExpiry,Comms Password Expiry Days,int16,0x0426,1062,Not applicable,RW
Instrument.Security.PassLockTime,Password lockout time,time_t,0x0427,1063,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Instrument.Security.FeaturePasscode1,Feature Passcode 1,int32,0x0428,1064,Not applicable,RW
Instrument.Security.FeaturePasscode2,Feature Passcode 2,int32,0x0429,1065,Not applicable,RW
Instrument.Security.ClearMemory,Clear Memory,bool,0x042a,1066,Not applicable,RW
Instrument.Security.OEMStatus,OEM Status,bool,0x042b,1067,Not applicable,RO
Instrument.Security.OEMParamLists,OEM Parameter Lists,bool,0x042c,1068,Not applicable,RW
Instrument.Security.FeaturePasscode3,Feature Passcode 3,int32,0x042e,1070,Not applicable,RW
Instrument.Security.FeaturePasscode4,Feature Passcode 4,int32,0x042f,1071,Not applicable,RW
Instrument.Diagnostics.AlarmStatusWord,Alarm Status Word,int16,0x0430,1072,Not applicable,RO
Instrument.Diagnostics.NewAlarm,New Alarm,bool,0x0431,1073,Not applicable,RO
Instrument.Diagnostics.VLine,Line Voltage,float32,0x0432,1074,1dp,RO
Instrument.Diagnostics.L2PassUnsuccess,Level2 Unsuccessful Passcode Entries,int32,0x0434,1076,Not applicable,RO
Instrument.Diagnostics.L2PassSuccess,Level2 Successful Passcode Entries,int32,0x0435,1077,Not applicable,RO
Instrument.Diagnostics.L3PassUnsuccess,Level3 Unsuccessful Passcode Entries,int32,0x0436,1078,Not applicable,RO
Instrument.Diagnostics.L3PassSuccess,Level3 Successful Passcode Entries,int32,0x0437,1079,Not applicable,RO
Instrument.Diagnostics.CfgPassUnsuccess,Config Unsuccessful Passcode Entries,int32,0x0438,1080,Not applicable,RO
Instrument.Diagnostics.CfgPassSuccess,Config Successful Passcode Entries,int32,0x0439,1081,Not applicable,RO
Instrument.Diagnostics.CommsPassUnsuccess,Comms Config Unsuccessful Password Entries,int32,0x043a,1082,Not applicable,RO
Instrument.Diagnostics.CommsPassSuccess,Comms Config Successful Password Entries,int32,0x043b,1083,Not applicable,RO
Instrument.Diagnostics.TimeFormat,Timeformat,uint8,0x043c,1084,Not applicable,RW
Instrument.Diagnostics.ForceStandby,Force instrument into standby mode,bool,0x043d,1085,Not applicable,RW
Instrument.Diagnostics.NotificationStatus,Notification Status Word,int16,0x043e,1086,Not applicable,RO
Instrument.Diagnostics.StandbyCondStatus,Standby Condition Status Word,int16,0x043f,1087,Not applicable,RO
Instrument.Diagnostics.ExecStatus,Execution Status,uint8,0x0440,1088,Not applicable,RO
Instrument.Diagnostics.ResetCounter,Reset counter,int32,0x0441,1089,Not applicable,RW
Instrument.Modules.IO1Fitted,IO 1 Fitted Module,uint8,0x0448,1096,Not applicable,RO
Instrument.Modules.IO1Expected,IO 1 Expected Module,uint8,0x0449,1097,Not applicable,RW
Instrument.Modules.IO2Fitted,IO 2 Fitted Module,uint8,0x044a,1098,Not applicable,RO
Instrument.Modules.IO2Expected,IO 2 Expected Module,uint8,0x044b,1099,Not applicable,RW
Instrument.Modules.IO4Fitted,IO 4 Fitted Module,uint8,0x044c,1100,Not applicable,RO
Instrument.Modules.IO4Expected,IO 4 Expected Module,uint8,0x044d,1101,Not applicable,RW
Instrument.Modules.OptionFitted,Option Board Fitted,uint8,0x044e,1102,Not applicable,RO
Instrument.Modules.OptionExpected,Option Board Expected,uint8,0x044f,1103,Not applicable,RW
Instrument.Cal.ID,User calibration identification,uint8,0x0480,1152,Not applicable,RW
Instrument.Cal.Status,User calibration status,uint8,0x0481,1153,Not applicable,RO
Instrument.Cal.Mode,User calibration mode,uint8,0x0482,1154,Not applicable,RW
Instrument.Cal.CalValue,User calibration value,float32,0x0483,1155,1dp,RW
Comms.Fixed.Main.Status,Comms Network Status,uint8,0x0490,1168,Not applicable,RW
Comms.Fixed.Main.WDTimeout,Network Watchdog Timeout,time_t,0x0491,1169,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Comms.Fixed.Main.WDAction,Network Watchdog Action,bool,0x0492,1170,Not applicable,RW
Comms.Fixed.Main.WDRecovery,Network Watchdog Recovery,time_t,0x0493,1171,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Comms.Fixed.Main.WDFlag,Network Watchdog Flag,bool,0x0494,1172,Not applicable,RW
Comms.Fixed.Main.TimeFormat,Timeformat,uint8,0x0495,1173,Not applicable,RW
Comms.Fixed.Network.Address,Node Address,uint8,0x04a2,1186,Not applicable,RW
Comms.Fixed.Network.IPMode,IP Mode,uint8,0x04a3,1187,Not applicable,RW
Comms.Fixed.Network.IPAddress1,1st byte of IP Address,uint8,0x04a4,1188,Not applicable,RW
Comms.Fixed.Network.IPAddress2,2nd Byte of IP address,uint8,0x04a5,1189,Not applicable,RW
Comms.Fixed.Network.IPAddress3,3rd Byte of IP address,uint8,0x04a6,1190,Not applicable,RW
Comms.Fixed.Network.IPAddress4,4th byte of IP address,uint8,0x04a7,1191,Not applicable,RW
Comms.Fixed.Network.SubnetMask1,1st byte of Subnet mask,uint8,0x04a8,1192,Not applicable,RW
Comms.Fixed.Network.SubnetMask2,2nd byte of Subnet mask,uint8,0x04a9,1193,Not applicable,RW
Comms.Fixed.Network.SubnetMask3,3rd byte of Subnet mask,uint8,0x04aa,1194,Not applicable,RW
Comms.Fixed.Network.SubnetMask4,4th byte of Subnet mask,uint8,0x04ab,1195,Not applicable,RW
Comms.Fixed.Network.DefaultGateway1,1st byte of Default gateway,uint8,0x04ac,1196,Not applicable,RW
Comms.Fixed.Network.DefaultGateway2,2nd byte of Default gateway,uint8,0x04ad,1197,Not applicable,RW
Comms.Fixed.Network.DefaultGateway3,3rd byte of Default gateway,uint8,0x04ae,1198,Not applicable,RW
Comms.Fixed.Network.DefaultGateway4,4th byte of Default gateway,uint8,0x04af,1199,Not applicable,RW
Comms.Fixed.Network.MAC1,MAC address 1,uint8,0x04b0,1200,Not applicable,RW
Comms.Fixed.Network.MAC2,MAC address 2,uint8,0x04b1,1201,Not applicable,RW
Comms.Fixed.Network.MAC3,MAC address 3,uint8,0x04b2,1202,Not applicable,RW
Comms.Fixed.Network.MAC4,MAC address 4,uint8,0x04b3,1203,Not applicable,RW
Comms.Fixed.Network.MAC5,MAC address 5,uint8,0x04b4,1204,Not applicable,RW
Comms.Fixed.Network.MAC6,MAC address 6,uint8,0x04b5,1205,Not applicable,RW
Comms.Fixed.Network.UnitIDType,Unit Identity Type,uint8,0x04b6,1206,Not applicable,RW
Comms.Fixed.Network.MsgFormat,Message format,bool,0x04b7,1207,Not applicable,RW
Comms.Fixed.Network.AutoDiscovery,Enables automatic discovery of instrument on a network,bool,0x04b8,1208,Not applicable,RW
Comms.Fixed.Network.BroadcastStormActive,Broadcast Storm Active,bool,0x04ba,1210,Not applicable,RO
Comms.Fixed.Network.RateProtectionActive,Rate Protection Active,bool,0x04bb,1211,Not applicable,RO
Comms.Fixed.Broadcast.Enable,Single Value Broadcast Enable,bool,0x04c0,1216,Not applicable,RW
Comms.Fixed.Broadcast.Destination,Broadcast Destination Address,int16,0x04c1,1217,Not applicable,RW
Comms.Fixed.Broadcast.BroadcastValue,Broadcast Value,float32,0x04c2,1218,0dp,RW
Comms.Fixed.EtherNetIP.EIP_Status,EtherNet/IP Comms Status,uint8,0x04c8,1224,Not applicable,RO
Comms.Fixed.EtherNetIP.EIP_TO_Status,EtherNet/IP Target to Originator status,uint8,0x04c9,1225,Not applicable,RO
Comms.Fixed.EtherNetIP.EIP_OT_Status,EtherNet/IP Originator to Target status,uint8,0x04ca,1226,Not applicable,RO
Comms.Fixed.EtherNetIP.EIP_NetworkStatus,EtherNet/IP Network Status,uint8,0x04cb,1227,Not applicable,RO
Comms.Fixed.EtherNetIP.EIP_ModuleStatus,EtherNet/IP Module Status,uint8,0x04cc,1228,Not applicable,RO
Comms.Fixed.EtherNetIP.EIP_TCPTimeout,EtherNet/IP TCP comms timeout in seconds.,int16,0x04cd,1229,Not applicable,RO
Comms.Option.Main.Status,Comms Network Status,uint8,0x04d0,1232,Not applicable,RW
Comms.Option.Main.WDTimeout,Network Watchdog Timeout,time_t,0x04d1,1233,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Comms.Option.Main.WDAction,Network Watchdog Action,bool,0x04d2,1234,Not applicable,RW
Comms.Option.Main.WDRecovery,Network Watchdog Recovery,time_t,0x04d3,1235,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Comms.Option.Main.WDFlag,Network Watchdog Flag,bool,0x04d4,1236,Not applicable,RW
Comms.Option.Main.Delay,Comms Delay,uint8,0x04d5,1237,Not applicable,RW
Comms.Option.Main.TimeFormat,Timeformat,uint8,0x04d6,1238,Not applicable,RW
Comms.Option.Network.Baud,Baud Rate,uint8,0x04e0,1248,Not applicable,RW
Comms.Option.Network.Parity,Parity,uint8,0x04e1,1249,Not applicable,RW
Comms.Option.Network.Address,Node Address,uint8,0x04e2,1250,Not applicable,RW
Comms.Option.Network.IPMode,IP Mode,uint8,0x04e3,1251,Not applicable,RW
Comms.Option.Network.IPAddress1,1st byte of IP Address,uint8,0x04e4,1252,Not applicable,RW
Comms.Option.Network.IPAddress2,2nd Byte of IP address,uint8,0x04e5,1253,Not applicable,RW
Comms.Option.Network.IPAddress3,3rd Byte of IP address,uint8,0x04e6,1254,Not applicable,RW
Comms.Option.Network.IPAddress4,4th byte of IP address,uint8,0x04e7,1255,Not applicable,RW
Comms.Option.Network.SubnetMask1,1st byte of Subnet mask,uint8,0x04e8,1256,Not applicable,RW
Comms.Option.Network.SubnetMask2,2nd byte of Subnet mask,uint8,0x04e9,1257,Not applicable,RW
Comms.Option.Network.SubnetMask3,3rd byte of Subnet mask,uint8,0x04ea,1258,Not applicable,RW
Comms.Option.Network.SubnetMask4,4th byte of Subnet mask,uint8,0x04eb,1259,Not applicable,RW
Comms.Option.Network.DefaultGateway1,1st byte of Default gateway,uint8,0x04ec,1260,Not applicable,RW
Comms.Option.Network.DefaultGateway2,2nd byte of Default gateway,uint8,0x04ed,1261,Not applicable,RW
Comms.Option.Network.DefaultGateway3,3rd byte of Default gateway,uint8,0x04ee,1262,Not applicable,RW
Comms.Option.Network.DefaultGateway4,4th byte of Default gateway,uint8,0x04ef,1263,Not applicable,RW
Comms.Option.Network.MAC1,MAC address 1,uint8,0x04f0,1264,Not applicable,RW
Comms.Option.Network.MAC2,MAC address 2,uint8,0x04f1,1265,Not applicable,RW
Comms.Option.Network.MAC3,MAC address 3,uint8,0x04f2,1266,Not applicable,RW
Comms.Option.Network.MAC4,MAC address 4,uint8,0x04f3,1267,Not applicable,RW
Comms.Option.Network.MAC5,MAC address 5,uint8,0x04f4,1268,Not applicable,RW
Comms.Option.Network.MAC6,MAC address 6,uint8,0x04f5,1269,Not applicable,RW
Comms.Option.Network.UnitIDType,Unit Identity Type,uint8,0x04f6,1270,Not applicable,RW
Comms.Option.Network.MsgFormat,Message format,bool,0x04f7,1271,Not applicable,RW
Comms.Option.Network.AutoDiscovery,Enables automatic discovery of instrument on a network,bool,0x04f8,1272,Not applicable,RW
Comms.Option.Network.BroadcastStormActive,Broadcast Storm Active,bool,0x04fa,1274,Not applicable,RO
Comms.Option.Network.RateProtectionActive,Rate Protection Active,bool,0x04fb,1275,Not applicable,RO
Comms.Option.Broadcast.Enable,Single Value Broadcast Enable,bool,0x0500,1280,Not applicable,RW
Comms.Option.Broadcast.Destination,Broadcast Destination Address,int16,0x0501,1281,Not applicable,RW
Comms.Option.Broadcast.BroadcastValue,Broadcast Value,float32,0x0502,1282,0dp,RW
Comms.Option.EtherNetIP.EIP_Status,EtherNet/IP Comms Status,uint8,0x0508,1288,Not applicable,RO
Comms.Option.EtherNetIP.EIP_TO_Status,EtherNet/IP Target to Originator status,uint8,0x0509,1289,Not applicable,RO
Comms.Option.EtherNetIP.EIP_OT_Status,EtherNet/IP Originator to Target status,uint8,0x050a,1290,Not applicable,RO
Comms.Option.EtherNetIP.EIP_NetworkStatus,EtherNet/IP Network Status,uint8,0x050b,1291,Not applicable,RO
Comms.Option.EtherNetIP.EIP_ModuleStatus,EtherNet/IP Module Status,uint8,0x050c,1292,Not applicable,RO
Comms.Option.EtherNetIP.EIP_TCPTimeout,EtherNet/IP TCP comms timeout in seconds.,int16,0x050d,1293,Not applicable,RO
UsrVal.1.Units,Units of the value,uint8,0x0510,1296,Not applicable,RW
UsrVal.1.Resolution,User Value Display Resolution,uint8,0x0511,1297,Not applicable,RW
UsrVal.1.HighLimit,User Value High Limit,float32,0x0512,1298,Set by UsrVal.1.Resolution,RW
UsrVal.1.LowLimit,User Value Low Limit,float32,0x0513,1299,Set by UsrVal.1.Resolution,RW
UsrVal.1.Val,The User Value,float32,0x0514,1300,Set by UsrVal.1.Resolution,RW
UsrVal.1.Status,User Value Status,uint8,0x0515,1301,Not applicable,RW
UsrVal.2.Units,Units of the value,uint8,0x0518,1304,Not applicable,RW
UsrVal.2.Resolution,User Value Display Resolution,uint8,0x0519,1305,Not applicable,RW
UsrVal.2.HighLimit,User Value High Limit,float32,0x051a,1306,Set by UsrVal.2.Resolution,RW
UsrVal.2.LowLimit,User Value Low Limit,float32,0x051b,1307,Set by UsrVal.2.Resolution,RW
UsrVal.2.Val,The User Value,float32,0x051c,1308,Set by UsrVal.2.Resolution,RW
UsrVal.2.Status,User Value Status,uint8,0x051d,1309,Not applicable,RW
